,Unnamed: 0,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
0,CI 16035,CI 16035,8.1,COSMETIC COLORANT,0.16699999999999998,"Ingrediente potencialmente alergénico, neurotóxico y perturbador del sistema endócrino. Al momento, se cuenta con evidencia científica limitada y contradictoria para aportar una conclusión robusta acerca de su efecto cancerígeno.",6.0,"['Cuidado del Bebé, Para el Baño', 'Niños, Espuma de Baño Infantil', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Shampoo', 'Cuidado Facial, Protectores Solares', 'Niños, Crema Dental']",Q3
0,BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",0.9,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,8.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']","Q2 ,Q1"
1,OCTOCRYLENE,OCTOCRYLENE,8.3,"UV ABSORBER, UV FILTER",0.75,Existen restricciones en cuanto a la concentración máxima permitida y el tipo de formulaciones en los que puede utilizarse este ingrediente. Es potencialmente alergénico (o foto-alergénico) y peligroso para la vida acuática.,6.0,"['Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Niños, Protectores Solares']",Q1
2,BENZYL BENZOATE,BENZYL BENZOATE,8.0,"ANTIMICROBIAL, PERFUMING, SOLVENT",0.05,Ingrediente potencialmente alergénico y sensibilizador de la piel. Existen restricciones de uso de este ingrediente.,13.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Coloración', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado del Cabello, Tratamiento Capilar']",Q2
0,POLYQUATERNIUM-6,POLYQUATERNIUM-6,6.0,"ANTISTATIC, FILM FORMING",0.022000000000000002,"Ingrediente potencialmente tóxico, peligroso y con efectos duraderos en el ambiente.",3.0,"['Cuidado Corporal, Jabones', 'Cuidado del Cabello, Coloración', 'Cuidado del Cabello, Shampoo']",Q2
1,ACRYLATES COPOLYMER,ACRYLATES COPOLYMER,6.0,"ANTISTATIC, BINDING, FILM FORMING",0.022000000000000002,Ingrediente (microplástico) potencialmente peligroso para el ambiente.,9.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Exfoliante', 'Cosmeticos, Maquillaje', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cosmeticos, Labiales', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Cabello, Shampoo']",Q1
2,CI 61570,CI 61570,6.4,COSMETIC COLORANT,0.022000000000000002,"Ingrediente potencialmente cancerígeno y con capacidad para alterar la información genética de un organismo biológico, tóxico a nivel reproductivo, sensibilizador de las vías respiratorias y con efectos duraderos en el ambiente.",2.0,"['Cuidado Corporal, Jabones', 'Cuidado del Cabello, Shampoo']",Q3
3,CI 15985,CI 15985,6.2,COSMETIC COLORANT,0.022000000000000002,"Ingrediente potencialmente cancerígeno, con capacidad para alterar la información genética de un organismo biológico y tóxico a nivel reproductivo.",4.0,"['Cuidado Corporal, Jabones', 'Cuidado Facial, Protectores Solares', 'Cosmeticos, Labiales', 'Cuidado del Cabello, Shampoo']",Q3
4,BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",0.022000000000000002,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,8.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']",Q3
0,BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",0.16699999999999998,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado Oral, Crema Dental', 'Cuidado del Cabello, Crema para peinar', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cosmeticos, Labiales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Niños, Crema Dental', 'Cuidado del Cabello, Tratamiento Capilar']",Q3
